name,lon,lat
老字号兰州手工牛肉拉面,120.414932,31.951811
桐庐石锅鱼,120.415,31.9543
六和神鱼,120.415594,30.871966
要德自助火锅,120.4166225,30.87133518
阿香婆堡仔饭,120.419461,30.87115967
陶小陶咖啡,120.423347,31.958038
经典咖啡,120.42771,31.95707
浔家菜,120.429637,30.87643419
农家菜馆,120.429862,30.87755
迪欧咖啡,120.430114,30.868293
三碗茶,120.430999,30.881309
云漫咖啡,120.431946,30.869476
哈曼德咖啡,120.4338349,31.50362772
小四川火锅,120.44511,31.43269
金格里咖啡语茶,120.4478,31.918539
金三峡酸菜鱼,120.452087,30.911909
隆源面饭馆,120.4555969,31.92222023
麦当劳,120.455948,31.440399
second cup咖啡,120.459755,31.595093
茶·咖啡,120.46366,31.12016
苏南菜馆,120.463753,31.80109
观前街美食,120.472,31.3752
安镇大润发肯德基,120.472519,31.614229
书生羊肉,120.476669,30.75223
锦岸私房菜,120.47934,30.750813
辣乌镇饭馆,120.47971,30.75052
肯德基,120.480979,31.49319
醉香咖啡,120.48361,31.74744
乌镇科纳咖啡,120.4846726,30.74829102
乌镇锦岸私房菜,120.4854801,30.74829498
水阁船家美食,120.4861291,30.74790097
布拉格咖啡,120.48825,30.801275
米粒咖啡,120.48895,30.74673
乌镇溜溜川菜馆,120.489158,30.74622491
正宗四川酸菜鱼,120.490356,30.84667
太湖水面,120.490913,31.092197
水之屋铁板烧,120.491,30.7485
金山峡火锅,120.492271,31.67025
阳山绿豆汤,120.492783,31.370392
桑梓鲜榨果汁,120.49368,30.741301
一区趣豆豆绿豆汤,120.494064,31.370262
咖喱喫茶,120.4943,30.75075
味可美汉堡奶茶炸鸡,120.494392,31.482531
伊藤咖啡语茶,120.494789,30.744711
(新桥服务区)透骨香扒鸡,120.495239,31.80859
鸿运川菜馆,120.49772,31.51804
金冠生日蛋糕,120.499191,31.1609
白鹿饭庄,120.50523,31.85881
集友咖啡,120.50592,30.79996
三嫂子火锅,120.50653,31.37954
香港街肯德基,120.507385,31.258041
名岛咖啡,120.50807,30.90517
傣式风情休闲时尚火锅,120.5086741,31.69407584
爱尚精品火锅,120.509369,31.256479
万福居家常菜,120.509552,31.360351
样福.汤,120.510566,31.872146
汉釜宫韩式烤肉,120.51163,31.25721
木渎玉玲珑粗菜馆,120.5118866,31.26184082
神龙重庆酸菜鱼,120.512848,30.91387
爱晚亭川味家常菜,120.513489,31.26119
正宗北京爆烤鸭,120.51387,30.67798
吾面堂台湾牛肉面,120.514,31.3926
胖哥鲜自助火锅,120.514,31.255199
天府楼火锅,120.5158,31.431669
蜻庭云顶咖啡,120.51583,31.869468
金鱼,120.515844,31.251697
蜻蜓云顶咖啡,120.515877,31.869528
小城故事私房菜,120.516998,31.2617
来来永和豆浆,120.517,31.2576
派克自助火锅,120.517626,31.872333
胡弄寿喜烧,120.517921,31.869711
妮纳罗咖啡,120.517998,31.869699
禾麒麟农家菜,120.51802,31.26266
藏书羊肉,120.518417,31.273359
新世纪咖啡语茶,120.51853,31.2479
韩宫宴炭火烤肉,120.518738,31.869209
